"ID";"TIME";"STATUS"
"135";"2024-06-19 14:24:38";"F_ON"
"136";"2024-06-19 14:42:14";"F_OFF"
"137";"2024-06-19 14:42:20";"F_ON"
"138";"2024-06-19 14:42:44";"F_OFF"
"139";"2024-06-19 14:42:50";"F_ON"
"140";"2024-06-19 14:43:00";"F_OFF"
"141";"2024-06-19 14:43:05";"F_ON"
"142";"2024-06-19 14:43:18";"F_OFF"
"143";"2024-06-19 14:43:24";"F_ON"
"144";"2024-06-19 14:43:30";"F_OFF"
"145";"2024-06-19 14:43:37";"F_ON"
"146";"2024-06-19 14:43:42";"F_OFF"
"147";"2024-06-19 14:45:41";"F_ON"
"148";"2024-06-19 14:45:49";"F_OFF"
"149";"2024-06-19 14:45:55";"F_ON"
"150";"2024-06-19 14:46:02";"F_OFF"
"151";"2024-06-19 14:46:08";"F_ON"
"152";"2024-06-19 15:05:11";"F_OFF"
"153";"2024-06-19 15:05:18";"F_ON"
"154";"2024-06-19 15:05:24";"F_OFF"
"155";"2024-06-19 15:05:31";"F_ON"
"156";"2024-06-19 15:05:41";"F_OFF"
"157";"2024-06-19 15:05:47";"F_ON"
"158";"2024-06-19 15:05:55";"F_OFF"
"159";"2024-06-19 15:06:09";"F_ON"
"160";"2024-06-19 15:06:25";"F_OFF"
"161";"2024-06-19 15:06:32";"F_ON"
"162";"2024-06-19 15:06:38";"F_OFF"
"163";"2024-06-19 15:06:44";"F_ON"
"164";"2024-06-19 15:57:32";"F_ON"
"165";"2024-06-19 15:57:49";"F_ON"
"166";"2024-06-19 15:58:02";"F_ON"
"167";"2024-06-19 15:58:16";"F_ON"
"168";"2024-06-19 15:58:30";"F_ON"
"169";"2024-06-19 15:58:45";"F_ON"
"170";"2024-06-19 15:59:04";"F_ON"
"171";"2024-06-19 15:59:23";"F_ON"
"172";"2024-06-19 15:59:31";"F_ON"
"173";"2024-06-19 15:59:46";"F_ON"
"174";"2024-06-19 16:00:23";"F_ON"
"175";"2024-06-19 16:00:35";"F_ON"
"176";"2024-06-19 16:01:31";"F_ON"
"177";"2024-06-19 16:02:07";"F_ON"
"178";"2024-06-19 16:02:58";"F_ON"
"179";"2024-06-19 16:03:03";"F_ON"
"180";"2024-06-19 16:03:21";"F_ON"
"181";"2024-06-19 16:03:35";"F_ON"
"182";"2024-06-19 16:04:15";"F_ON"
"183";"2024-06-19 16:04:26";"F_ON"
"184";"2024-06-19 16:05:43";"F_ON"
"185";"2024-06-19 17:14:18";"F_ON"
"186";"2024-06-19 17:16:39";"F_OFF"
"187";"2024-06-19 17:21:28";"F_ON"
"188";"2024-06-19 17:27:09";"F_OFF"
"189";"2024-06-19 17:27:15";"F_ON"
"190";"2024-06-19 17:27:22";"F_OFF"
"191";"2024-06-19 17:29:18";"F_ON"
"192";"2024-06-19 17:29:27";"F_OFF"
"193";"2024-06-19 17:29:41";"F_ON"
"194";"2024-06-19 17:29:49";"F_OFF"
"195";"2024-06-19 17:29:55";"F_ON"
"196";"2024-06-19 17:30:01";"F_OFF"
"197";"2024-06-19 17:30:09";"F_ON"
"198";"2024-06-19 17:50:50";"F_OFF"
"199";"2024-06-19 17:55:34";"F_ON"
"200";"2024-06-19 17:55:46";"F_OFF"
"201";"2024-06-19 17:55:52";"F_ON"
"202";"2024-06-19 17:56:00";"F_OFF"
"203";"2024-06-19 17:56:06";"F_ON"
"204";"2024-06-19 18:09:29";"F_OFF"
"205";"2024-06-19 18:10:00";"F_ON"
"206";"2024-06-19 18:10:06";"F_OFF"
"207";"2024-06-19 18:13:04";"F_ON"
"208";"2024-06-19 18:13:10";"F_OFF"
"209";"2024-06-19 18:13:27";"F_ON"
"210";"2024-06-19 18:13:33";"F_OFF"
"211";"2024-06-19 18:13:48";"F_ON"
"212";"2024-06-19 18:20:18";"F_OFF"
"213";"2024-06-19 18:21:48";"F_ON"
"214";"2024-06-19 19:00:18";"F_OFF"
"215";"2024-06-19 19:00:25";"F_ON"
"216";"2024-06-19 19:00:31";"F_OFF"
"217";"2024-06-19 19:06:43";"F_ON"
"218";"2024-06-19 19:21:56";"F_OFF"
"219";"2024-06-19 19:24:34";"F_ON"
"220";"2024-06-19 19:45:56";"F_OFF"
"221";"2024-06-19 19:46:01";"F_ON"
"222";"2024-06-19 19:46:08";"F_OFF"
"223";"2024-06-19 19:48:22";"F_ON"
"224";"2024-06-19 20:10:52";"F_OFF"
"225";"2024-06-19 20:12:41";"F_ON"
"226";"2024-06-19 20:12:53";"F_OFF"
"227";"2024-06-19 20:12:58";"F_ON"
"228";"2024-06-19 20:32:33";"F_OFF"
"229";"2024-06-19 20:32:39";"F_ON"
"230";"2024-06-19 20:32:46";"F_OFF"
"231";"2024-06-19 20:34:17";"F_ON"
"232";"2024-06-19 21:35:40";"F_OFF"
"233";"2024-06-19 21:39:35";"F_ON"
"234";"2024-06-19 22:02:24";"F_OFF"
"235";"2024-06-19 22:03:12";"F_ON"
"236";"2024-06-19 22:03:21";"F_OFF"
"237";"2024-06-19 22:03:27";"F_ON"
"238";"2024-06-19 22:03:33";"F_OFF"
"239";"2024-06-19 22:03:41";"F_ON"
"240";"2024-06-19 22:22:58";"F_OFF"
"241";"2024-06-19 22:23:45";"F_ON"
"242";"2024-06-19 22:23:55";"F_OFF"
"243";"2024-06-19 22:24:01";"F_ON"
"244";"2024-06-19 22:24:09";"F_OFF"
"245";"2024-06-19 22:24:15";"F_ON"
"246";"2024-06-19 22:41:41";"F_OFF"
"247";"2024-06-19 22:46:00";"F_ON"
"248";"2024-06-19 23:02:20";"F_OFF"
"249";"2024-06-19 23:07:27";"F_ON"
"250";"2024-06-19 23:25:26";"F_OFF"
"251";"2024-06-19 23:30:20";"F_ON"
"252";"2024-06-19 23:30:28";"F_OFF"
"253";"2024-06-19 23:30:34";"F_ON"
"254";"2024-06-19 23:48:07";"F_OFF"
"255";"2024-06-19 23:52:32";"F_ON"
"256";"2024-06-19 23:52:40";"F_OFF"
"257";"2024-06-19 23:52:46";"F_ON"
"258";"2024-06-20 00:09:21";"F_OFF"
"259";"2024-06-20 00:15:39";"F_ON"
"260";"2024-06-20 00:16:25";"F_OFF"
"261";"2024-06-20 00:22:03";"F_ON"
"262";"2024-06-20 00:38:51";"F_OFF"
"263";"2024-06-20 00:43:44";"F_ON"
"264";"2024-06-20 01:11:31";"F_OFF"
